,repository_name,language
0,astyanax,Java
1,curator,Java
2,Priam,Java
3,CassJMeter,Java
4,servo,Java
5,aws-autoscaling,Shell
6,netflix.github.com,HTML
7,gradle-template,Java
8,archaius,Java
9,asgard,Groovy
10,SimianArmy,Java
11,governator,Java
12,netflix-commons,Java
13,eureka,Java
14,edda,Scala
15,frigga,Java
16,blitz4j,Java
17,Hystrix,Java
18,Turbine,Java
19,ribbon,Java
20,denominator,Java
21,karyon,Java
22,EVCache,Java
23,aminator,Python
24,recipes-rss,Java
25,Cloud-Prize,
26,netflix-graph,Java
27,zuul,Java
28,suro,Java
29,brutal,Python
30,pytheas,JavaScript
31,Lipstick,JavaScript
32,NfWebCrypto,C++
33,genie,Java
34,Nicobar,Java
35,glisten,Groovy
36,blesk,JavaScript
37,dynomite,C
38,aegisthus,Java
39,zeno,Java
40,staash,Java
41,s3mper,Java
42,PigPen,Clojure
43,fabricator,Java
44,Fido,C#
45,dyno,Java
46,ReactiveLab,Java
47,msl,C++
48,security_monkey,Python
49,spectator,Java
50,inviso,JavaScript
51,atlas,Scala
52,awsobjectmapper,Groovy
53,edda-client,Java
54,Workflowable,Ruby
55,Raigad,Java
56,Prana,Java
57,ocelli,Java
58,iep,Java
59,iep-shadow,
60,Surus,Java
61,falcor,JavaScript
62,falcor-router,JavaScript
63,falcor-express,JavaScript
64,falcor-http-datasource,JavaScript
65,vector,JavaScript
66,Fenzo,Java
67,security-bulletins,
68,ember-nf-graph,JavaScript
69,rx-aws-java-sdk,Java
70,ember-nf-graph-examples,JavaScript
71,falcor-path-syntax,JavaScript
72,falcor-restify,JavaScript
73,lemur,Python
74,falcor-router-demo,JavaScript
75,falcor-hapi,JavaScript
76,falcor-express-demo,HTML
77,falcor-restify-demo,HTML
78,falcor-hapi-demo,HTML
79,falcor-json-graph,JavaScript
80,falcor-path-utils,JavaScript
81,rend,Go
82,restful-jsonapi,Ruby
83,eureka-ui,JavaScript
84,sleepy-puppy-docker,Dockerfile
85,lemur-docker,Python
86,webpack-parse-query,JavaScript
87,dial-reference,C
88,falcor-datasource-chainer,JavaScript
89,vp9-dash,
90,photon,Java
91,eslint-config-netflix-dea,JavaScript
92,runtime-health,Java
93,vmaf,Python
94,osstracker,Scala
95,reactivesocket-examples,Java
96,hal-9001,Go
97,metacat,Java
98,unleash,JavaScript
99,techreports,
100,rend-lmdb,Go
101,bless,Python
102,vizceral,JavaScript
103,vizceral-component,JavaScript
104,dynomite-manager,Java
105,vizceral-react,JavaScript
106,vizceral-example,JavaScript
107,q,Java
108,eslint-config-netflix,JavaScript
109,rend-http,Go
110,dyno-queues,Java
111,ndbench,HTML
112,chaosmonkey,Go
113,hollow,Java
114,conductor,Java
115,bettertls,Go
116,hollow-reference-implementation,Java
117,hubcommander,Python
118,batch_request_client,Ruby
119,ember-batch-request,JavaScript
120,batch_request_api,Ruby
121,repokid,Python
122,pygenie,Python
123,vectorflow,D
124,titus,
125,falcor-observable,JavaScript
126,titus-api-definitions,Makefile
127,titus-control-plane,Java
128,metrics-client-go,Go
129,titus-executor,Go
130,concurrency-limits,Java
131,iceberg,Java
132,sureal,Python
133,fast_jsonapi,Ruby
134,codec_compare,Python
135,spectator-py,Python
136,atlas-docs,Python
137,flamescope,Python
138,spectator-go,Go
139,spectator-rb,Ruby
140,x-element,JavaScript
141,element-server,JavaScript
142,read_bbrlog,C
143,yetch,JavaScript
144,go-expect,Go
145,go-env,Go
146,signal-wrapper,Go
147,pollyjs,JavaScript
148,tslint-config-netflix,JavaScript
149,spectator-cpp,C++
150,spectator-js,JavaScript
151,mantis-mql,Clojure
152,mantis-control-plane,Java
153,mantis-source-jobs,Java
154,mantis-connectors,Java
155,mantis-examples,Java
156,nerror,JavaScript
157,netflixoss-npm-build-infrastructure,
158,probnik,TypeScript
159,mantis-rxnetty,
160,mantis-gradle-plugin,Groovy
161,mantis-rxcontrol,Java
162,mantis,Java
163,mantis-api,Java
164,mantis-cli,JavaScript
165,mantis-ui,TypeScript
166,x-test,JavaScript
167,p2plab,Go
168,nflxprofile,Python
169,metaflow,Python
170,polynote,HTML
171,consoleme,Python
172,metaflow-service,Python
173,metaflow-tools,HCL
174,image_compression_comparison,Python
175,spark,Scala
176,dispatch,Python
177,dispatch-docker,Shell
178,metaflow-docs,JavaScript
179,vmaf_resource,
180,tcplog_dumper,C
181,bbparse,C
182,user2020-metaflow-tutorial,R
183,weep,Go
184,titus-kube-common,Go
185,dgs-framework,Kotlin
186,dgs-codegen,Kotlin
187,dgs,HTML
188,dgs-federation-example,Kotlin
189,dgs-examples-kotlin,Kotlin
190,dgs-examples-java,Java
191,.github,
192,dgs-examples-java16,Java
193,derand,Java
194,eclipse-mat,
195,eclipse-jifa,Java
196,dgs-examples-webflux,Java
197,nf-data-explorer,TypeScript
198,metaflow-extensions-template,Python
199,dgs-intellij-plugin,Kotlin
200,taskintrospection,C
201,metaflow-ui,TypeScript
202,sherlock,R
203,af_tsa,C
204,cachemover,C++
205,conductor-community,Java
206,matchcut,Jupyter Notebook
207,dgs-examples-java.latest,Java
208,nflx-geofeed,
209,conductor-ui,JavaScript
